ORIGIN_AIRPORT_ID,Year,Origin Airport Code,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs),Origin City Name,Origin Airport Name
10001,2020,01A,4,10,24,41.7,2.5,6,30,30,"4,800",0,0,4,10,24,41.7,2.5,6,30,30,"4,800",0,0,,,,,,,,,,,,,,,,,,,,,,,Afognak Lake (01A),Afognak Lake Airport (01A)
10001,2021,01A,10,7,59,11.9,0.7,5.9,30,30,"11,550",0,0,10,7,59,11.9,0.7,5.9,30,30,"11,550",0,0,,,,,,,,,,,,,,,,,,,,,,,Afognak Lake (01A),Afognak Lake Airport (01A)
10001,2022,01A,11,29,65,44.6,2.636363636,5.909090909,30,30,"12,750",0,0,11,29,65,44.6,2.636363636,5.909090909,30,30,"12,750",0,0,,,,,,,,,,,,,,,,,,,,,,,Afognak Lake (01A),Afognak Lake Airport (01A)
10001,2023,01A,8,17,44,38.6,2.125,5.5,30,30,"7,800",0,0,8,17,44,38.6,2.125,5.5,30,30,"7,800",0,0,,,,,,,,,,,,,,,,,,,,,,,Afognak Lake (01A),Afognak Lake Airport (01A)
10001,2024M1-10,01A,5,17,30,56.7,3.4,6,30,30,"6,000",0,0,5,17,30,56.7,3.4,6,30,30,"6,000",0,0,,,,,,,,,,,,,,,,,,,,,,,Afognak Lake (01A),Afognak Lake Airport (01A)
10003,2014,03A,4,0,0,,0,0,147,,"22,400","20,064",0,4,0,0,,0,0,147,,"22,400","20,064",0,,,,,,,,,,,,,,,,,,,,,,,Granite Mountain (03A),Bear Creek Mining Strip (03A)
10004,2014,04A,3,0,0,,0,0,84,,"12,475",0,0,3,0,0,,0,0,84,,"12,475",0,0,,,,,,,,,,,,,,,,,,,,,,,Lik (04A),Lik Mining Camp (04A)
10005,2014,05A,44,53,291,18.2,1.204545455,6.613636364,178.6590909,171.5283019,"213,300","15,819",169,44,53,291,18.2,1.204545455,6.613636364,178.6590909,171.5283019,"213,300","15,819",169,,,,,,,,,,,,,,,,,,,,,,,Little Squaw (05A),Little Squaw Airport (05A)
10005,2015,05A,123,184,908,20.3,1.495934959,7.382113821,181.1138211,187.6576087,"385,935","11,251","3,516",123,184,908,20.3,1.495934959,7.382113821,181.1138211,187.6576087,"385,935","11,251","3,516",,,,,,,,,,,,,,,,,,,,,,,Little Squaw (05A),Little Squaw Airport (05A)
10005,2016,05A,68,126,507,24.9,1.852941176,7.455882353,191.5882353,190.9444444,"328,519","31,299",0,68,126,507,24.9,1.852941176,7.455882353,191.5882353,190.9444444,"328,519","31,299",0,,,,,,,,,,,,,,,,,,,,,,,Little Squaw (05A),Little Squaw Airport (05A)
10005,2017,05A,80,188,669,28.1,2.35,8.3625,189.6375,183.2553191,"279,904","12,853",0,80,188,669,28.1,2.35,8.3625,189.6375,183.2553191,"279,904","12,853",0,,,,,,,,,,,,,,,,,,,,,,,Little Squaw (05A),Little Squaw Airport (05A)
10005,2018,05A,90,225,720,31.3,2.5,8,178.7888889,174.0266667,"254,939","56,196",0,90,225,720,31.3,2.5,8,178.7888889,174.0266667,"254,939","56,196",0,,,,,,,,,,,,,,,,,,,,,,,Little Squaw (05A),Little Squaw Airport (05A)
10005,2019,05A,16,25,135,18.5,1.5625,8.4375,166.75,155.48,"41,656","8,111",286,16,25,135,18.5,1.5625,8.4375,166.75,155.48,"41,656","8,111",286,,,,,,,,,,,,,,,,,,,,,,,Little Squaw (05A),Little Squaw Airport (05A)
10005,2020,05A,1,0,9,0,0,9,191,,"2,422","2,210",0,1,0,9,0,0,9,191,,"2,422","2,210",0,,,,,,,,,,,,,,,,,,,,,,,Little Squaw (05A),Little Squaw Airport (05A)
10005,2021,05A,2,5,18,27.8,2.5,9,191,191,"8,680",0,0,2,5,18,27.8,2.5,9,191,191,"8,680",0,0,,,,,,,,,,,,,,,,,,,,,,,Little Squaw (05A),Little Squaw Airport (05A)
10005,2022,05A,3,13,27,48.1,4.333333333,9,191,191,"13,020",0,0,3,13,27,48.1,4.333333333,9,191,191,"13,020",0,0,,,,,,,,,,,,,,,,,,,,,,,Little Squaw (05A),Little Squaw Airport (05A)
10005,2024M1-10,05A,1,1,9,11.1,1,9,191,191,"2,284",0,0,1,1,9,11.1,1,9,191,191,"2,284",0,0,,,,,,,,,,,,,,,,,,,,,,,Little Squaw (05A),Little Squaw Airport (05A)
10006,2015,06A,5,1,20,5,0.2,4,14,14,"6,960",0,0,5,1,20,5,0.2,4,14,14,"6,960",0,0,,,,,,,,,,,,,,,,,,,,,,,Kizhuyak (06A),Kizhuyak Bay (06A)
10006,2016,06A,6,8,17,47.1,1.333333333,2.833333333,14,14,"5,784",0,0,6,8,17,47.1,1.333333333,2.833333333,14,14,"5,784",0,0,,,,,,,,,,,,,,,,,,,,,,,Kizhuyak (06A),Kizhuyak Bay (06A)
10006,2017,06A,5,1,18,5.6,0.2,3.6,18,18,"4,200",0,0,5,1,18,5.6,0.2,3.6,18,18,"4,200",0,0,,,,,,,,,,,,,,,,,,,,,,,Kizhuyak (06A),Kizhuyak Bay (06A)
10006,2018,06A,14,6,75,8,0.428571429,5.357142857,15.42857143,17.33333333,"15,450",0,0,14,6,75,8,0.428571429,5.357142857,15.42857143,17.33333333,"15,450",0,0,,,,,,,,,,,,,,,,,,,,,,,Kizhuyak (06A),Kizhuyak Bay (06A)
10006,2019,06A,6,3,33,9.1,0.5,5.5,18,18,"6,750",0,0,6,3,33,9.1,0.5,5.5,18,18,"6,750",0,0,,,,,,,,,,,,,,,,,,,,,,,Kizhuyak (06A),Kizhuyak Bay (06A)
10006,2020,06A,88,80,507,15.8,0.909090909,5.761363636,17.95454545,17.9,"99,450",0,0,88,80,507,15.8,0.909090909,5.761363636,17.95454545,17.9,"99,450",0,0,,,,,,,,,,,,,,,,,,,,,,,Kizhuyak (06A),Kizhuyak Bay (06A)
10006,2021,06A,106,103,613,16.8,0.971698113,5.783018868,18.20754717,18,"121,650",140,0,106,103,613,16.8,0.971698113,5.783018868,18.20754717,18,"121,650",140,0,,,,,,,,,,,,,,,,,,,,,,,Kizhuyak (06A),Kizhuyak Bay (06A)
10006,2022,06A,84,68,503,13.5,0.80952381,5.988095238,18.14285714,18,"100,350",0,0,84,68,503,13.5,0.80952381,5.988095238,18.14285714,18,"100,350",0,0,,,,,,,,,,,,,,,,,,,,,,,Kizhuyak (06A),Kizhuyak Bay (06A)
10006,2023,06A,76,77,445,17.3,1.013157895,5.855263158,18,18,"86,250",0,0,76,77,445,17.3,1.013157895,5.855263158,18,18,"86,250",0,0,,,,,,,,,,,,,,,,,,,,,,,Kizhuyak (06A),Kizhuyak Bay (06A)
10006,2024M1-10,06A,57,49,341,14.4,0.859649123,5.98245614,18,18,"67,950",0,0,57,49,341,14.4,0.859649123,5.98245614,18,18,"67,950",0,0,,,,,,,,,,,,,,,,,,,,,,,Kizhuyak (06A),Kizhuyak Bay (06A)
10008,2014,08A,15,15,75,20,1,5,36,36,"19,500",500,0,15,15,75,20,1,5,36,36,"19,500",500,0,,,,,,,,,,,,,,,,,,,,,,,Elizabeth Island (08A),Elizabeth Island Airport (08A)
10008,2015,08A,10,15,50,30,1.5,5,33.8,36,"13,000",0,0,10,15,50,30,1.5,5,33.8,36,"13,000",0,0,,,,,,,,,,,,,,,,,,,,,,,Elizabeth Island (08A),Elizabeth Island Airport (08A)
10009,2017,09A,14,23,78,29.5,1.642857143,5.571428571,117.4285714,119.173913,"15,000",0,0,14,23,78,29.5,1.642857143,5.571428571,117.4285714,119.173913,"15,000",0,0,,,,,,,,,,,,,,,,,,,,,,,Homer (09A),Augustin Island (09A)
10009,2018,09A,6,4,32,12.5,0.666666667,5.333333333,116,117,"6,400",0,0,6,4,32,12.5,0.666666667,5.333333333,116,117,"6,400",0,0,,,,,,,,,,,,,,,,,,,,,,,Homer (09A),Augustin Island (09A)
10009,2019,09A,16,16,89,18,1,5.5625,117.3125,115.3125,"18,200",0,0,16,16,89,18,1,5.5625,117.3125,115.3125,"18,200",0,0,,,,,,,,,,,,,,,,,,,,,,,Homer (09A),Augustin Island (09A)
10009,2020,09A,52,70,276,25.4,1.346153846,5.307692308,118.4423077,118.4,"58,000",0,0,52,70,276,25.4,1.346153846,5.307692308,118.4423077,118.4,"58,000",0,0,,,,,,,,,,,,,,,,,,,,,,,Homer (09A),Augustin Island (09A)
10009,2021,09A,24,37,152,24.3,1.541666667,6.333333333,114.5833333,113.4324324,"36,000",49,0,24,37,152,24.3,1.541666667,6.333333333,114.5833333,113.4324324,"36,000",49,0,,,,,,,,,,,,,,,,,,,,,,,Homer (09A),Augustin Island (09A)
10009,2022,09A,21,38,129,29.5,1.80952381,6.142857143,116.2857143,117.2894737,"30,000",0,0,21,38,129,29.5,1.80952381,6.142857143,116.2857143,117.2894737,"30,000",0,0,,,,,,,,,,,,,,,,,,,,,,,Homer (09A),Augustin Island (09A)
10009,2023,09A,6,9,30,30,1.5,5,114.8333333,117,"6,000",0,0,6,9,30,30,1.5,5,114.8333333,117,"6,000",0,0,,,,,,,,,,,,,,,,,,,,,,,Homer (09A),Augustin Island (09A)
10009,2024M1-10,09A,11,22,79,27.8,2,7.181818182,115.8181818,116.4090909,"20,000",0,0,11,22,79,27.8,2,7.181818182,115.8181818,116.4090909,"20,000",0,0,,,,,,,,,,,,,,,,,,,,,,,Homer (09A),Augustin Island (09A)
10010,2014,1B1,1,3,9,33.3,3,9,119,119,"6,000",0,0,1,3,9,33.3,3,9,119,119,"6,000",0,0,,,,,,,,,,,,,,,,,,,,,,,Hudson (1B1),Columbia County (1B1)
10010,2015,1B1,2,7,17,41.2,3.5,8.5,315,315,"4,666",0,0,,,,,,,,,,,,2,7,17,41.2,3.5,8.5,315,315,"4,666",0,0,2,6,17,35.3,3,8.5,315,315,"4,666",0,0,Hudson (1B1),Columbia County (1B1)
10010,2017,1B1,2,8,17,47.1,4,8.5,"1,176.50","1,166.25","5,200",0,0,2,8,17,47.1,4,8.5,"1,176.50","1,166.25","5,200",0,0,,,,,,,,,,,,,,,,,,,,,,,Hudson (1B1),Columbia County (1B1)
10010,2019,1B1,5,14,40,35,2.8,8,164,154.7142857,"17,250",0,0,5,14,40,35,2.8,8,164,154.7142857,"17,250",0,0,,,,,,,,,,,,,,,,,,,,,,,Hudson (1B1),Columbia County (1B1)
